,red,blue,green,nir08,swir16,emad,smad,bcmad,ndvi,mndwi,evi,ndbi,bs_pc_50,pv_pc_50,npv_pc_50,bs_med_jan_apr,pv_med_jan_apr,npv_med_jan_apr,bs_med_may_aug,pv_med_may_aug,npv_med_may_aug,bs_med_sep_dec,pv_med_sep_dec,npv_med_sep_dec,dem,x,y,class_id,lulc
74,499.0,346.0,553.0,2793.0,1856.0,896.87195,0.0037415922,0.06862591,0.6968409,-0.54088837,0.43473318,-0.20154873,7.0,74.0,22.0,12.5,63.0,17.0,7.0,72.5,23.0,17.0,49.0,24.5,29.660208,3080946.6886814754,-1976337.439457341,2,cropland
75,564.0,365.0,650.0,2989.0,1936.0,987.6908,0.0045200586,0.08148524,0.6825218,-0.4972931,0.44461155,-0.21380712,8.0,66.0,26.0,15.0,61.0,20.5,4.5,68.5,24.0,11.5,49.0,33.0,79.4472,3082362.895243347,-1976332.3325175112,2,cropland
76,626.0,464.0,841.0,3318.0,2140.0,1349.4266,0.0073313117,0.079202846,0.68255585,-0.43575984,0.4950714,-0.21582998,11.0,82.0,11.0,8.5,78.0,13.0,17.0,56.5,24.0,9.0,74.0,20.0,9.938781,3083779.101805219,-1976327.1095121675,2,cropland
77,453.0,365.0,676.0,3821.0,2295.0,1016.20996,0.0035057068,0.059476648,0.78802055,-0.54493433,0.6100786,-0.24950947,8.0,70.0,16.0,14.0,71.0,13.5,12.0,64.5,22.5,9.0,69.0,13.0,22.82966,3089443.9280527094,-1976305.4050373936,2,cropland
78,599.0,351.0,673.0,3165.0,1893.0,737.12085,0.0013821423,0.04816731,0.6817216,-0.4754482,0.4541111,-0.2514828,4.0,85.0,13.0,18.0,68.0,16.0,10.0,82.5,14.0,29.0,29.0,59.0,105.79129,3095108.642980706,-1976282.075654022,2,cropland
79,255.0,264.0,491.0,3507.0,1302.0,478.8731,0.00079768896,0.03819921,0.8644338,-0.4523146,0.62265444,-0.4585153,7.0,86.0,8.0,30.0,58.0,25.5,9.5,84.0,8.5,16.0,52.0,46.0,752.98346,3102189.5644705775,-1976250.969850369,1,forest
80,203.0,206.0,343.0,3241.0,1057.0,434.19882,0.00048452616,0.032959796,0.8821138,-0.51,0.5881214,-0.5081433,6.0,84.0,11.0,25.5,57.0,40.0,6.5,83.0,15.0,41.5,46.0,60.0,723.3897,3103605.659712958,-1976244.3540697906,1,forest
81,185.0,207.0,355.0,2948.0,1031.0,809.4922,0.0025585294,0.060166497,0.88190234,-0.48773444,0.55235696,-0.48177937,5.0,90.0,6.0,34.0,54.0,40.0,7.0,77.0,13.0,21.5,56.0,26.0,693.08246,3105021.86627483,-1976237.7382913234,1,forest
82,224.0,236.0,412.0,3467.0,1235.0,419.0317,0.00032156706,0.037147656,0.8786237,-0.49969637,0.62169313,-0.47469166,6.0,83.0,11.0,16.0,60.0,32.0,8.0,84.5,6.5,28.5,48.0,29.0,674.62213,3106437.9615172106,-1976231.006448735,1,forest
83,284.0,291.0,603.0,4081.0,1478.0,540.39545,0.001159668,0.032930207,0.869874,-0.42047095,0.69784963,-0.4682497,8.0,85.0,8.0,22.0,57.0,41.0,10.0,61.0,15.0,14.0,52.0,53.0,975.2575,3107854.168079083,-1976224.2746083327,1,forest
84,289.0,305.0,497.0,3297.0,1174.0,916.3629,0.0019499063,0.07280806,0.83881766,-0.40514663,0.59010476,-0.47483787,6.0,89.0,5.0,15.0,63.5,11.0,8.5,79.0,10.0,15.0,49.5,59.0,930.52655,3109270.2633214635,-1976217.3106378035,1,forest
85,353.0,394.0,691.0,4095.0,1481.0,768.05176,0.0011406243,0.05161821,0.8412769,-0.36372006,0.7056117,-0.4687948,8.0,88.0,6.0,12.0,79.0,25.5,14.0,65.0,19.0,11.0,64.5,16.0,839.3057,3110686.358563844,-1976210.346669614,1,forest
86,292.0,360.0,532.0,4256.0,1318.0,1073.7181,0.0023216605,0.07518846,0.871592,-0.42486483,0.74466485,-0.5270901,9.0,90.0,11.0,11.0,77.5,38.0,9.0,62.0,27.0,17.0,54.0,28.0,782.3778,3112102.565125716,-1976203.2666376855,1,forest
87,212.0,233.0,422.0,3734.0,1376.0,949.3107,0.003439486,0.066934,0.8925494,-0.5305896,0.66410226,-0.4614481,9.0,88.0,9.0,12.0,74.5,37.5,14.0,63.0,9.0,12.0,55.0,17.5,778.6812,3113518.6603680965,-1976196.0705421378,1,forest
88,257.0,275.0,487.0,3945.0,1373.0,493.45413,0.0006875098,0.029389866,0.87767726,-0.47634405,0.686804,-0.4836405,9.0,89.0,8.0,11.0,58.0,37.0,18.0,55.0,18.0,31.5,47.5,50.0,803.0308,3114934.7556104776,-1976188.758383093,1,forest
89,242.0,268.0,438.0,3803.0,1265.0,1083.9099,0.0021960735,0.06858172,0.8803461,-0.48561364,0.67214036,-0.5007892,13.0,85.0,13.0,14.5,66.5,39.5,18.0,48.5,49.5,22.5,48.0,48.5,776.3404,3116350.8508528583,-1976181.330160671,1,forest
90,385.0,421.0,582.0,3169.0,1335.0,825.82214,0.0023633838,0.06527668,0.78334266,-0.39280123,0.56486624,-0.40719366,6.0,81.0,12.0,25.0,61.0,37.0,18.0,55.0,14.5,24.5,50.0,51.0,777.73883,3117766.9460952417,-1976173.9019409118,1,forest
91,349.0,347.0,586.0,3421.0,1451.0,756.8902,0.0017194152,0.0640496,0.8148541,-0.42464405,0.59477246,-0.40435138,3.0,88.0,8.0,23.0,56.0,30.0,9.0,60.0,20.0,26.0,41.0,62.0,987.74335,3119183.0413376223,-1976166.357657943,1,forest
92,410.0,419.0,679.0,3646.0,1576.0,1476.8088,0.0028577447,0.09010467,0.79783034,-0.39778268,0.62405986,-0.39639986,6.0,89.0,3.0,28.5,56.0,35.5,12.0,42.5,57.0,28.0,43.5,61.5,918.2097,3120599.136580003,-1976158.6973118917,1,forest
