,bs_pc_50,pv_pc_50,npv_pc_50,red,blue,green,nir08,swir16,emad,smad,bcmad,ndvi,mndwi,evi,ndbi,bs_jan_apr,pv_jan_apr,npv_jan_apr,bs_may_aug,pv_may_aug,npv_may_aug,bs_sep_dec,pv_sep_dec,npv_sep_dec,dem,class_id,lulc,geometry
24,39.0,43.0,16.0,1385.0,1141.0,1441.0,3561.0,2605.0,548.2886,0.0008234978,0.027841594,0.43995147594015366,-0.28769154720711815,1.641273193543521,-0.15504378851767758,35.5,49.0,16.5,39.0,57.0,12.0,27.0,62.0,10.0,4.1485744,1,forest,POINT (171.36374693463677 7.120183394767383)
25,17.0,49.0,33.0,1984.0,1955.0,2021.0,2489.0,2953.0,665.03,0.0017212033,0.033604685,0.11289961994187346,-0.18737434660233213,-4.702048417132216,0.0852627710400588,48.0,19.0,41.0,41.5,9.0,58.0,26.0,8.5,83.0,2.9417996,4,buildup,POINT (171.3631766353271 7.121174554515061)
26,44.0,28.0,30.0,2064.0,1707.0,1956.0,3512.0,3533.0,960.5963,0.00073102117,0.044733834,0.25968436154949787,-0.2873018764802332,1.1698174179996768,0.0029808374733853796,53.5,28.0,23.0,50.0,32.0,17.5,50.0,39.0,12.0,3.3847618,4,buildup,POINT (171.36396419151663 7.120836517118661)
27,53.0,37.0,23.0,1054.0,818.0,1122.0,3578.0,3952.0,1140.8027,0.002150327,0.048183635,0.5449050086355786,-0.5577453685455263,1.674628450106157,0.04966799468791501,58.0,26.0,17.5,42.0,43.0,15.0,54.5,34.0,18.0,2.7395415,4,buildup,POINT (171.3637323115775 7.120938763024449)
28,28.0,27.0,50.0,2579.0,2113.0,2378.0,3766.0,4096.0,1350.9788,0.0015270114,0.056423053,0.18707643814026792,-0.26536916898362684,0.8744658906733461,0.041974052403968454,44.5,27.0,26.0,40.0,32.5,25.5,42.5,32.0,23.0,2.8990579,4,buildup,POINT (171.36448226561475 7.121111955016254)
29,18.0,17.0,74.0,2497.0,2033.0,2309.0,4011.0,4538.0,774.6623,0.00089490414,0.028885555,0.23263675476336818,-0.3255440338834526,1.0102762578406512,0.06164463679962569,47.5,21.0,40.0,54.5,14.5,31.5,43.0,16.0,41.0,3.7826805,4,buildup,POINT (171.365150748322 7.120778090876413)
30,40.0,36.0,28.0,2066.0,1846.0,2154.0,3946.0,3271.0,643.62164,0.0011308193,0.027591502,0.31270791749833665,-0.20589861751152075,1.8815052041633307,-0.0935291672440072,38.0,32.0,31.0,44.0,37.0,20.0,33.0,45.0,43.0,2.8892758,4,buildup,POINT (171.3649355804506 7.120394146811184)
31,30.0,34.0,50.0,1879.0,1624.0,1880.0,3776.0,3653.0,1014.60864,0.00081682205,0.04320927,0.3354553492484527,-0.3204409904211097,1.6518634622082897,-0.0165567371113205,53.5,22.0,28.0,34.5,28.5,41.0,32.5,28.0,47.0,2.9615302,3,grassland,POINT (171.36480815093455 7.121385306097406)
32,39.0,41.0,23.0,1604.0,1367.0,1706.0,3370.0,2678.0,638.7758,0.0018495321,0.031121159,0.3550462404503418,-0.22171532846715328,1.609845031905196,-0.11441798941798942,50.5,34.5,22.0,41.0,51.0,13.5,24.5,39.0,42.0,1.8451219,3,grassland,POINT (171.36309516399714 7.120471352980893)
33,24.0,18.0,58.0,2247.0,1906.0,2107.0,3407.0,3074.0,668.4073,0.0018050671,0.03141323,0.20516448532012735,-0.1866435051148427,1.117533718689788,-0.05138095972843697,40.0,46.5,18.5,32.0,55.0,14.0,32.5,61.0,13.0,1.5330758,3,grassland,POINT (171.36252068667056 7.12130810008358)
